source,family,title,publication_date,doi,existing_record,screening_decision,reason
ACM,F1,fastWorkflow: Closing the Performance Gap Between Small and Frontier Language Models for Conversational Agents,2026-05-26,10.1145/3786335.3813158,NO,INCLUDE_FULLTEXT_AND_SYNTHESIS,"Peer-reviewed architecture and ablation study on tau-bench Retail and Airline; includes repeated trials, cost analysis, and reproducibility artifacts."
ACM,F1,Multi-LLM Agent Collaborative Intelligence: The Path to Artificial General Intelligence,2025-12,10.1145/3749421,NO,EXCLUDE_TITLE_ABSTRACT,"Broad multi-agent book without a directly comparable focal intervention evaluation."
ACM,F2,Evaluating Task-oriented Dialogue Systems with Users,2023-07,10.1145/3539618.3591788,YES,DUPLICATE,"Already identified through Scopus as RS-0127."
ACM,F2,Governance by Construction for Generalist Agents,2026-05-20,10.1145/3786335.3813192,YES,DUPLICATE,"Already identified through Scopus and arXiv as RS-0149."
ACM,F2,fastWorkflow: Closing the Performance Gap Between Small and Frontier Language Models for Conversational Agents,2026-05-26,10.1145/3786335.3813158,NO,DUPLICATE_WITHIN_ACM,"Same publication as ACM F1 record."
ACM,F2,ConvPayMAS: Conversational Payment Multi-Agent System with Agent-to-Agent Protocol and Three-Mandate Verification,2026-05-24,10.65109/YDMY4904,YES,DUPLICATE,"Already identified through Scopus as RS-0102."
ACM,F2,When Harmful Intent Dissolves into Technical Detail: How Safe Are Coding Agents Against Cyber Misuse?,2026-05-26,10.1145/3786335.3813176,YES,DUPLICATE,"Already identified through Scopus as RS-0325."
ACM,F2,CAPO: Certification-Guided Agentic Workflow for Physical Design Parameter Optimization,2026-06-22,10.1145/3787109.3816403,YES,DUPLICATE,"Already identified through Scopus as RS-0082."
ACM,F2,Autonomous Research Loops: An LLM-Agent Framework for End-to-End ML Experimentation Manuscripting and Self-Evaluation,2026-05-01,10.1145/3802133.3802134,YES,DUPLICATE,"Already identified through Scopus as RS-0065."
ACM,F2,Towards Explainable and Safe Systems for Health Data,2025-07,10.1145/3726302.3730121,NO,EXCLUDE_TITLE_ABSTRACT,"No focal tool-using transactional agent process or comparable runtime intervention evaluation."
