study_id,bibkey,title,identification_route,publication_status_at_cutoff,synthesis_roles,inclusion_rationale,permitted_evidence_use
2406.12045,yao_-bench_2024,$τ$-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,SNOWBALLING,E1_REGULAR_PEER_REVIEWED,R1|R4,"Tau-bench provides policy-bound airline and retail dialogues, database end states, and repeated-run reliability.",CENTRAL_CLAIM_ELIGIBLE
2408.04682,lu_toolsandbox_2025,"ToolSandbox: A Stateful, Conversational, Interactive Evaluation Benchmark for LLM Tool Use Capabilities",SNOWBALLING,E1_REGULAR_PEER_REVIEWED,R1|R4,"ToolSandbox evaluates stateful tools, implicit dependencies, user interaction, and trajectory milestones.",CENTRAL_CLAIM_ELIGIBLE
2503.08669,li_sopbench_2025,SOPBench: Evaluating Language Agents at Following Standard Operating Procedures and Constraints,SNOWBALLING,E3_PREPRINT,R3|R4,SOPBench uses executable policies and rule-based verifiers across seven customer-service domains.,FRONTIER_SUPPLEMENT_ONLY
2506.07982,barres_tau2-bench_2025,$τ^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,SNOWBALLING,E1_REGULAR_PEER_REVIEWED,R1|R4,Tau2-bench evaluates coordinated user and agent state changes in dynamic support environments.,CENTRAL_CLAIM_ELIGIBLE
2506.09600,nakash_red_teaming_2025,Effective Red-Teaming of Policy-Adherent Agents,SNOWBALLING,E1_REGULAR_PEER_REVIEWED,R1|R4,Policy-aware adversarial users expose compliance failures in task-oriented agents.,CENTRAL_CLAIM_ELIGIBLE
RS-0019,rana_agentchangebench_2025,AgentChangeBench: A Multi-Dimensional Evaluation Framework for Goal-Shift Robustness in Conversational AI,DATABASE,E2_REVIEWED_WORKSHOP,R1|R4,"Multi-turn enterprise benchmark directly measures goal-shift recovery, redundancy, efficiency, and task success.",SUPPORTING_OR_TRIANGULATED
RS-0060,arcadinho_automated_test_2024,Automated test generation to evaluate tool-augmented LLMs as conversational AI agents,DATABASE,E2_REVIEWED_WORKSHOP,R1|R4,The study contributes a procedure-grounded customer-support benchmark for complete tool-using conversations.,SUPPORTING_OR_TRIANGULATED
RS-0071,balaji_beyond_ivr_2026,Beyond IVR: Benchmarking Customer Support LLM Agents for Business-Adherence,DATABASE,E1_REGULAR_PEER_REVIEWED,R2|R3|R4,JourneyBench directly evaluates policy-bound customer-support workflows and structured dynamic orchestration.,CENTRAL_CLAIM_ELIGIBLE
RS-0084,zhang_catching_one_five_2026,Catching One in Five: LLM-as-Judge Blind Spots in Production Multi-Turn Transaction Agents,DATABASE,E3_PREPRINT,R1|R4,"Production transaction traces show that common judging misses cross-turn state, guardrail, and recovery defects.",FRONTIER_SUPPLEMENT_ONLY
RS-0103,li_cordon_2026,Cordon: Semantic Transactions for Tool-Using LLM Agents,DATABASE,E3_PREPRINT,R3,Semantic transactions stage and validate composed tool effects before commit and provide task-level rollback and audit.,FRONTIER_SUPPLEMENT_ONLY
RS-0107,huang_crmarena_2024,CRMArena: Understanding the Capacity of LLM Agents to Perform Professional CRM Tasks in Realistic Environments,DATABASE,E1_REGULAR_PEER_REVIEWED,R1|R4,CRMArena provides expert-designed customer-service CRM tasks with executable tools and end-state evaluation.,CENTRAL_CLAIM_ELIGIBLE
RS-0121,kamath_agentc_2026,Enforcing Temporal Constraints for LLM Agents,DATABASE,E2_REVIEWED_WORKSHOP,R3,Temporal policies are formally specified and enforced over action sequences at agent runtime.,SUPPORTING_OR_TRIANGULATED
RS-0132,ma_flexible_agent_alignment_2025,Flexible Agent Alignment with Goal Inference from Open-Ended Dialog,DATABASE,E3_PREPRINT,R2,The method dynamically extracts and updates natural-language goals from open-ended multi-turn dialogue.,FRONTIER_SUPPLEMENT_ONLY
RS-0153,wang_hell_high_water_2025,Hell or High Water: Evaluating Agentic Recovery from External Failures,DATABASE,E1_REGULAR_PEER_REVIEWED,R1|R4,The benchmark injects recoverable external tool failures and measures alternative-plan recovery under controlled solvability.,CENTRAL_CLAIM_ELIGIBLE
RS-0217,choi_policybank_2026,PolicyBank: Evolving Policy Understanding for LLM Agents,DATABASE,E2_REVIEWED_WORKSHOP,R2|R5,Structured policy insights are updated and retrieved per turn in long-horizon transactional conversations.,SUPPORTING_OR_TRIANGULATED
RS-0225,cai_push_your_agent_2026,Push Your Agent: Measuring and Enforcing Quantitative Goal Persistence in Long-Horizon LLM Agents,DATABASE,E3_PREPRINT,R1|R2|R4,The benchmark and controllers externalize verified quantitative goal progress and measure persistence and drift.,FRONTIER_SUPPLEMENT_ONLY
RS-0231,gupta_reliabilitybench_2026,ReliabilityBench: Evaluating LLM Agent Reliability Under Production-Like Stress Conditions,DATABASE,E3_CAUTION_PREPRINT,R1|R4,"Repeated execution, perturbation, and fault injection directly operationalize agent stability and recovery.",FRONTIER_SUPPLEMENT_ONLY
RS-0243,cuadron_saber_2025,"SABER: Small Actions, Big Errors -- Safeguarding Mutating Steps in LLM Agents",DATABASE,E2_REVIEWED_WORKSHOP,R1|R3|R5,Trace analysis isolates mutating actions as decisive failures and evaluates verification immediately before those actions.,SUPPORTING_OR_TRIANGULATED
RS-0263,winston_solver_aided_2026,Solver-Aided Verification of Policy Compliance in Tool-Augmented LLM Agents,DATABASE,E3_PREPRINT,R3|R5,Natural-language policies are compiled into solver constraints and checked before tool invocation.,FRONTIER_SUPPLEMENT_ONLY
RS-0280,shi_tau-knowledge_2026,$τ$-Knowledge: Evaluating Conversational Agents over Unstructured Knowledge,DATABASE,E1_REGULAR_PEER_REVIEWED,R1|R4,"The benchmark combines unstructured evidence retrieval, policy reasoning, tools, and verifiable banking state changes.",CENTRAL_CLAIM_ELIGIBLE
RS-0292,sah_verifier_tax_2026,The Verifier Tax: Horizon Dependent Safety Success Tradeoffs in Tool Using LLM Agents,DATABASE,E1_REGULAR_PEER_REVIEWED,R1|R3|R5,The study quantifies safety-success and recovery tradeoffs from runtime policy mediation in transactional airline and retail tasks.,CENTRAL_CLAIM_ELIGIBLE
RS-0301,zwerdling_toolguards_2025,Towards Enforcing Company Policy Adherence in Agentic Workflows,DATABASE,E1_REGULAR_PEER_REVIEWED,R3|R5,Company policies are compiled into transparent guards that check each proposed tool action before execution.,CENTRAL_CLAIM_ELIGIBLE
RS-0323,sheng_overtrust_environmental_evidence_2026,When Agents Overtrust Environmental Evidence: An Extensible Agentic Framework for Benchmarking Evidence-Grounding Defects in LLM Agents,DATABASE,E3_PREPRINT,R1|R2|R4,"The benchmark directly measures provenance, freshness, authority, and action-grounding defects in environment evidence.",FRONTIER_SUPPLEMENT_ONLY
RS-0327,ding_retrieval_metrics_2026,When Retrieval Metrics Mislead: Measuring Policy Signal in Long-Horizon Tool-Use Agents,DATABASE,E3_CAUTION_PREPRINT,R2|R3|R5,The study tests policy retrieval and structured decision state for pre-action compliance classification.,FRONTIER_SUPPLEMENT_ONLY
ACM-0001,satija_fastworkflow_2026,fastWorkflow: Closing the Performance Gap Between Small and Frontier Language Models for Conversational Agents,DATABASE,E1_REGULAR_PEER_REVIEWED,R1|R2|R4,"The study develops a modular conversational workflow architecture and evaluates component ablations, three independent trials, stability, and cost on tau-bench Retail and Airline.",CENTRAL_CLAIM_ELIGIBLE
