study_id,bibkey,quellenstatus,kurzgegenstand,vorgehen_oder_messlogik,zentraler_punkt,grenze_fuer_die_synthese,nutzen_fuer_die_arbeit,fundstelle
"2406.12045","yao_-bench_2024","E1 Peer-reviewt","Policy-gebundene Dialoge in Airline und Retail","Interaktiver User-Simulator; Tools; veraenderbarer DB-Zustand; wiederholte Laeufe","Sprachlich plausible Antworten und fachlich korrekte Endzustaende fallen auseinander; Erfolg schwankt ueber Wiederholungen","Benchmarksetting statt Produktivbetrieb; keine Aussage zu Kundenzufriedenheit oder ROI","Grundlage fuer Benchmarkwahl, DB Match und getrennte Stabilitaetsbetrachtung","Abschn. 3-6; 5.1"
"2408.04682","lu_toolsandbox_2025","E1 Peer-reviewt","Zustandsabhaengige, interaktive Toolnutzung","Dynamische Zwischen- und Endmeilensteine; implizite Abhaengigkeiten; Nutzerinteraktion","Ein Endergebnis allein bildet Fehler im mehrstufigen Toolpfad nicht vollstaendig ab","Eigene Sandbox-Aufgaben; nicht speziell auf Retail-Prozesse ausgerichtet","Stuetzt die getrennte Beobachtung von Endzustand und Prozessverlauf","Abschn. 3-5"
"2503.08669","li_sopbench_2025","E3 Preprint","Befolgung von Standardprozessen und Constraints","Ausfuehrbare Policies und regelbasierte Pruefer in sieben Service-Domaenen","Policybefolgung kann ueber explizite Regeln und Aktionsfolgen geprueft werden","Preprint; nur ergaenzend verwendet","Beispiel fuer formalisierte Prozessregeln und deterministisch pruefbare Grenzen","Abschn. 3-6"
"2506.07982","barres_tau2-bench_2025","E1 Peer-reviewt","Dialoge mit verteilter Kontrolle zwischen Agent und Nutzer","Beide Seiten koennen Informationen und Umweltzustand beeinflussen; dynamische Supportfaelle","Transaktionale Dialoge sind nicht nur Agentenentscheidungen, sondern koordinierte Zustandsveraenderungen","Benchmarkumgebung; keine direkte betriebliche Wirkungsmessung","Erklaert die verwendete tau2-bench-Implementierung und den sichtbaren gemeinsamen Zustand","Abschn. 3-5; 4.1"
"2506.09600","nakash_red_teaming_2025","E1 Peer-reviewt","Adversariale Pruefung policy-konformer Agenten","Policy-bewusste Nutzersimulation erzeugt gezielt schwierige Dialogverlaeufe","Normale Erfolgsfaelle unterschaetzen moegliche Compliance-Fehler","Wiederholbarkeit nur teilweise dokumentiert; adversariales Testszenario","Belegt, warum Prozess- und Policyfehler neben dem Enderfolg betrachtet werden","Abschn. 3-5"
"RS-0019","rana_agentchangebench_2025","E2 Reviewter Workshop","Robustheit bei geaenderten Nutzerzielen","Mehrdimensionale Messung von Zielwechsel, Redundanz, Effizienz und Erfolg","Zielaenderungen erfordern eine fortlaufende Aktualisierung des Arbeitsstands","Workshopbeitrag; als Stuetzung, nicht als alleiniger Hauptbeleg","Passt zur Fortschreibung von Zielen und zum Stabilitaetsargument fuer A","Abschn. 3-5"
"RS-0060","arcadinho_automated_test_2024","E2 Reviewter Workshop","Automatisch erzeugte Tests fuer Tool-Agenten im Support","Verfahrensgebundene, vollstaendige Kundendialoge mit Toolnutzung","Tool-Agenten sollten ueber den gesamten Ablauf und nicht nur turnweise getestet werden","Vergleichslogik und Reproduzierbarkeit nur teilweise beschrieben","Ergaenzt die Begruendung fuer episodenweite Auswertung","Abschn. 3-5"
"RS-0071","balaji_beyond_ivr_2026","E1 Peer-reviewt","Dynamisch orchestrierte Kundenservice-Workflows","Policy-gebundene Aufgaben mit strukturierten Prozessschritten","Kundenservice-Agenten muessen Dialog und ausfuehrbare Prozesslogik zusammenfuehren","Domaenenspezifisches Benchmarksetting; Wiederholbarkeit teilweise dokumentiert","Zentraler Beleg fuer transaktionalen Kundenservice als Prozesskontext","S. 193-208"
"RS-0084","zhang_catching_one_five_2026","E3 Preprint","Fehlerbilder in produktionsnahen Agententransaktionen","Analyse von Transaktionstraces und gaengigen Bewertungsverfahren","Turn- oder Endpunktbewertungen koennen Zustands-, Guardrail- und Recovery-Fehler uebersehen","Preprint; Vergleich und Wiederholbarkeit nur teilweise; nur ergaenzend","Schaerft die Notwendigkeit von Trace- und Mechanismustelemetrie","Abschn. 4-7"
"RS-0103","li_cordon_2026","E3 Preprint","Semantische Transaktionen fuer zusammengesetzte Toolwirkungen","Aenderungen werden vor dem Commit gesammelt, validiert und bei Bedarf zurueckgesetzt","Zwischen Entscheidung und irreversibler Wirkung kann eine eigene Kontrollgrenze liegen","Preprint; Vergleich und Wiederholbarkeit nur teilweise","Konzeptuelle Gegenarbeit fuer B, Commit-Grenze und Auditierbarkeit","Abschn. 3-6"
"RS-0107","huang_crmarena_2024","E1 Peer-reviewt","CRM-Aufgaben fuer Kundenservice-Agenten","Expertenentworfene Aufgaben; ausfuehrbare Tools; Bewertung des Endzustands","Realistische Serviceaufgaben benoetigen fachliche Ground Truth und beobachtbare Zustandsaenderungen","CRM-spezifischer Benchmark; keine direkte Aussage zur eigenen Intervention","Stuetzt Domaenenwahl und endzustandsbezogene Erfolgspruefung","Abschn. 3-5"
"RS-0121","kamath_agentc_2026","E2 Reviewter Workshop","Laufzeitkontrolle zeitlicher Policies","Formale Regeln werden ueber Aktionssequenzen zur Laufzeit geprueft","Kontrolle kann an konkrete Aktionsfolgen und Zeitbedingungen gebunden werden","Workshopbeitrag; Reproduzierbarkeit teilweise; keine semantische Unterstuetzung","Gegenarbeit fuer deterministische Kontrolle vor beziehungsweise waehrend Toolaktionen","Abschn. 3-7"
"RS-0132","ma_flexible_agent_alignment_2025","E3 Preprint","Dynamische Fortschreibung natuerlichsprachlicher Ziele","Ziele werden aus offenem Mehrturn-Dialog extrahiert und aktualisiert","Statische Zielrepraesentationen reichen bei veraenderten Nutzeranliegen nicht immer aus","Preprint; nur frontier-nahe Ergaenzung","Unterstuetzt die Idee eines explizit fortgeschriebenen Zielzustands in A","Abschn. 4-6"
"RS-0153","wang_hell_high_water_2025","E1 Peer-reviewt","Recovery bei externen Toolfehlern","Kontrollierte, loesbare Toolstoerungen; Messung alternativer Plaene und Wiederherstellung","Fehlerbehandlung ist nicht mit Blockierung gleichzusetzen; der Agent braucht einen loesbaren Folgepfad","Fokus auf injizierte Toolfehler, nicht auf alle fachlichen Fehlertypen","Belegt die getrennte Betrachtung von Eingriff, Recovery und Abschluss","Abschn. 3-5"
"RS-0217","choi_policybank_2026","E2 Reviewter Workshop","Strukturierte Policy-Erinnerungen in langen Transaktionsdialogen","Policy-Erkenntnisse werden turnweise gespeichert, abgerufen und aktualisiert","Explizit externer Zustand kann relevante Regeln ueber lange Dialoge verfuegbar halten","Workshopbeitrag; kein unabhaengiger deterministischer Pre-Write-Faktor","Naechste Gegenarbeit zur semantischen Unterstuetzung und persistenten Supportkarte","Abschn. 3 und 6"
"RS-0225","cai_push_your_agent_2026","E3 Preprint","Persistenz und Drift quantitativer Ziele","Verifizierter Zielfortschritt wird externalisiert und ueber den Verlauf gemessen","Agenten koennen trotz weiter bestehendem Ziel vom erforderlichen Fortschritt abweichen","Preprint; nur ergaenzend; anderer Zieltyp als Kundenserviceziele","Stuetzt die Trennung von Modellkontext und kontrolliertem Prozesszustand","Abschn. 3-7"
"RS-0231","gupta_reliabilitybench_2026","E3 Preprint mit Vorsicht","Stabilitaet und Recovery ueber Wiederholungen","Wiederholte Ausfuehrung; Perturbationen; Fault Injection","Einzelner Erfolg sagt wenig ueber wiederholbare Leistung und Stoerungsrobustheit aus","Preprint; Vergleich nur teilweise; nicht als Hauptbeleg genutzt","Ergaenzt die Begruendung fuer sechs Seeds, Streuung und Recovery-Messung","Abschn. 3-5"
"RS-0243","cuadron_saber_2025","E2 Reviewter Workshop","Verifikation unmittelbar vor mutierenden Aktionen","Trace-Analyse; nutzerbezogene Rueckfrage beziehungsweise Verifikation an der Mutationsgrenze","Mutierende Toolaktionen sind ein sinnvoller eigener Interventionspunkt","Workshopbeitrag; Kontextbereinigung und Kontrolle teilweise gekoppelt; Aufwand und Fehlblockierung nicht vollstaendig","Engste Gegenarbeit zur Pre-Write-Kontrolle B und zur Trennung beider Eingriffspunkte","Abschn. 5-8; Anhang"
"RS-0263","winston_solver_aided_2026","E3 Preprint","Solver-gestuetzte Durchsetzung natuerlichsprachlicher Policies","Policies werden in Constraints uebersetzt und vor Toolaufrufen geprueft","Formalisierbare Regeln koennen vor einer Aktion deterministisch geprueft werden","Preprint; Wirksamkeit haengt von Uebersetzung und Regelabdeckung ab","Beispiel fuer harte Pruefung am Pre-Write-Interventionspunkt","Abschn. 3-5"
"RS-0280","shi_tau-knowledge_2026","E1 Peer-reviewt","Policy- und Wissensabruf in transaktionalen Bankaufgaben","Unstrukturierte Evidenzsuche; Policy-Reasoning; Tools; verifizierbarer Zustand","Expliziter Evidenzabruf kann Planung unter unvollstaendig sichtbaren Informationen unterstuetzen","Keine separat evaluierte deterministische Pre-Write-Kontrolle","Engste Gegenarbeit fuer evidenzgebundene semantische Unterstuetzung","Abschn. 4-7"
"RS-0292","sah_verifier_tax_2026","E1 Peer-reviewt","Trade-offs unterschiedlicher Laufzeitpruefer","Policy-Mediation in Airline- und Retail-Aufgaben; Safe Success, Blockierung und Recovery getrennt","Mehr Kontrolle kann Regelverletzungen senken und zugleich gueltige Ausfuehrung behindern","Verifier heterogen und nicht durchgehend deterministisch; Wiederholbarkeit teilweise","Zentral fuer Saved/Broken, Over-Control und Nettonachweis von B","Abschn. 3-5"
"RS-0301","zwerdling_toolguards_2025","E1 Peer-reviewt","Transparente Guards vor Toolaktionen","Unternehmensregeln werden in pruefbare Guards fuer vorgeschlagene Toolaufrufe uebersetzt","Pruefbare Regeln lassen sich direkt vor der Ausfuehrung anwenden","Keine unabhaengige semantische Komponente; Regression, Recovery und Aufwand nicht vollstaendig","Direkte Gegenarbeit fuer Policy- und Argumentpruefung in B","Abschn. 3-6"
"RS-0323","sheng_overtrust_environmental_evidence_2026","E3 Preprint","Qualitaet externer Evidenz fuer Agentenentscheidungen","Pruefung von Herkunft, Aktualitaet, Autoritaet und Handlungsbezug","Vorhandene Evidenz ist nicht automatisch verlaesslich oder fuer eine Aktion ausreichend","Preprint; nur ergaenzend; anderer Evaluationsschwerpunkt","Begruendet die Quellenbindung und Evidenzqualitaet in A und B","Abschn. 3-5"
"RS-0327","ding_retrieval_metrics_2026","E3 Preprint mit Vorsicht","Policy-Retrieval fuer Compliance-Entscheidungen","Retrieval und strukturierter Entscheidungszustand vor einer Compliance-Klassifikation","Retrievalqualitaet und Entscheidungsqualitaet muessen getrennt betrachtet werden","Preprint; Klassifikationssetting statt vollstaendiger Agentenepisode","Ergaenzt die Grenze, dass mehr Kontext allein keine korrekte Entscheidung garantiert","Abschn. 2-4"
"ACM-0001","satija_fastworkflow_2026","E1 Peer-reviewt","Modularer Workflow fuer transaktionale Dialogagenten","Komponentenablationen; drei unabhaengige Laeufe; Stabilitaets- und Kostenmessung auf tau-bench","Semantische Teilkomponenten koennen modular geprueft werden; Nutzen und Aufwand muessen gemeinsam betrachtet werden","Keine separat schaltbare deterministische Pre-Write-Kontrolle; Recovery und Regression nicht vollstaendig","Wichtige Gegenarbeit fuer Modularitaet, Ablation, Wiederholung und Ressourcenaufwand","Abschn. 3-5; Anhang B"
